"Cleaned_Measure","reporter_desc","partner_desc","Total_Net_Wgt"
"Export","Italy","Cayman Isds",1784
"Export","Italy","Ukraine",218732
"Import","Italy","Portugal",4547178
"Import","Italy","Peru",1996132
"Export","Italy","USA",278330
"Export","Italy","Denmark",34474
"Export","Italy","Bulgaria",291772
"Import","Italy","Indonesia",18068000
"Import","Italy","Bulgaria",280
"Export","Italy","Nigeria",4824
"Import","Italy","Spain",88406142
"Export","Italy","France",584410
"Export","Italy","Slovenia",3881526
"Import","Italy","Ghana",4843466
"Export","Italy","Ireland",15594
"Export","Italy","Singapore",6468
"Import","Italy","Belgium",20116
"Import","Italy","Papua New Guinea",10832046
"Export","Italy","Philippines",99030
"Import","Italy","Mauritius",9747290
"Import","Italy","France",285008
"Export","Italy","Armenia",21724
"Export","Italy","Germany",9650780
"Export","Italy","Slovakia",105512
"Import","Italy","Philippines",4474780
"Export","Italy","Rep. of Moldova",109412
"Export","Italy","Luxembourg",154718
"Import","Italy","Côte d'Ivoire",19807480
"Export","Italy","Czechia",4064886
"Export","Italy","United Arab Emirates",744564
"Export","Italy","Lithuania",224128
"Export","Italy","Greece",5077962
"Import","Italy","Viet Nam",4772112
"Export","Italy","Israel",1161878
"Export","Italy","Bosnia Herzegovina",628724
"Import","Italy","Colombia",17655338
"Import","Italy","China",6603318
"Import","Italy","Seychelles",7895232
"Export","Italy","Romania",2963432
"Import","Italy","Germany",2059002
"Export","Italy","Poland",1813972
"Export","Italy","Hungary",2440208
"Import","Italy","Poland",313928
"Export","Italy","China",495722
"Export","Italy","Latvia",143110
"Export","Japan","Canada",6675
"Import","Japan","Philippines",11485860
"Import","Japan","Thailand",41302805
"Export","Japan","USA",158432
"Import","Japan","Indonesia",10898075
"Export","Japan","Viet Nam",9839
"Export","Japan","Thailand",12986
"Export","Japan","China, Hong Kong SAR",46086
"Import","Japan","Viet Nam",2392987
"Export","Japan","Other Asia, nes",27339
"Export","Japan","Singapore",9319
"Export","Japan","Saudi Arabia",119986
"Import","Japan","Spain",5363
"Import","Japan","China",2214427
"Import","Japan","Rep. of Korea",306696
"Import","Kazakhstan","Russian Federation",302674.38
"Import","Kazakhstan","Rep. of Korea",34812.22
"Import","Jordan","Thailand",4185249.575
"Import","Jordan","Oman",38272.264
"Import","Jordan","Viet Nam",1360179.835
"Import","Jordan","Tunisia",20730.065
"Import","Jordan","Indonesia",1882401.156
"Import","Jordan","China",1157299.932
"Import","Kenya","Thailand",580534.6
"Export","Rep. of Korea","Canada",113621.5
"Export","Rep. of Korea","Saudi Arabia",41.4
"Import","Rep. of Korea","Viet Nam",1255899.7
"Import","Rep. of Korea","USA",609.295
"Export","Rep. of Korea","Philippines",124638.44
"Import","Rep. of Korea","Japan",36728.992
"Export","Rep. of Korea","Japan",296922.4
"Export","Rep. of Korea","France",5215.92
"Export","Rep. of Korea","Australia",63362.8
"Export","Rep. of Korea","Mongolia",506499.3
"Export","Rep. of Korea","Malaysia",32330.47
"Import","Rep. of Korea","China",39.741
"Export","Rep. of Korea","United Arab Emirates",3189.58
"Export","Rep. of Korea","China, Hong Kong SAR",31723.636
"Import","Rep. of Korea","Germany",51.26
"Export","Rep. of Korea","Lao People's Dem. Rep.",977.3
"Import","Rep. of Korea","France",692.631
"Export","Rep. of Korea","New Zealand",17831.71
"Export","Rep. of Korea","Viet Nam",139843.4
"Export","Rep. of Korea","USA",671962.1
"Export","Rep. of Korea","Netherlands",1005
"Export","Rep. of Korea","India",2116.44
"Import","Rep. of Korea","Philippines",52916.856
"Export","Rep. of Korea","Myanmar",2769.8
"Export","Rep. of Korea","China",912486.5
"Export","Rep. of Korea","Marshall Isds",54
"Export","Rep. of Korea","Singapore",16349.325
"Export","Rep. of Korea","Cambodia",18628.02
"Import","Rep. of Korea","Thailand",542244.9
"Export","Rep. of Korea","Guam",4953.93
"Import","Rep. of Korea","Italy",82151.437
"Export","Rep. of Korea","Nepal",581.75
"Export","Rep. of Korea","Slovakia",2160
"Import","Kuwait","Iran",1605.503
"Import","Kuwait","Thailand",3630688.616
"Import","Kuwait","Indonesia",498704.536
"Import","Kuwait","Philippines",48392.117
"Import","Kyrgyzstan","Russian Federation",23014
"Import","Kyrgyzstan","Iran",19235
"Import","Latvia","Italy",64207
"Import","Latvia","Germany",112115
"Export","Latvia","Lithuania",120025
"Import","Latvia","Estonia",265
"Export","Latvia","Germany",80607
"Import","Latvia","Lithuania",54783
"Export","Latvia","Estonia",112779.156
"Export","Latvia","Slovakia",22479
"Import","Latvia","Czechia",1175
"Export","Latvia","Sweden",8280
"Import","Latvia","Spain",112312
"Export","Latvia","France",12079
"Import","Lithuania","Spain",224199
"Import","Lithuania","Germany",20934
"Import","Lithuania","France",12120
"Export","Lithuania","Poland",36074.175
"Import","Lithuania","Latvia",130844
"Import","Lithuania","Czechia",152753
"Export","Lithuania","Latvia",48493.145
"Import","Lithuania","Ecuador",259985.96
"Import","Lithuania","Italy",186785
"Export","Lithuania","Estonia",81708
"Import","Luxembourg","Ghana",5751.2
"Import","Luxembourg","Spain",70504.392
"Import","Luxembourg","Mauritania",2118
"Export","Luxembourg","Belgium",15309.12
"Import","Luxembourg","Côte d'Ivoire",2997.12
"Import","Luxembourg","Montserrat",5934
"Import","Luxembourg","Belgium",716588.12
"Import","Luxembourg","Other Europe, nes",5429.808
"Import","Luxembourg","Madagascar",3643.2
"Export","Luxembourg","France",11006.66
"Import","Luxembourg","France",125520.764
"Export","Luxembourg","Germany",625.512
"Import","Luxembourg","Portugal",362001.68
"Import","Luxembourg","Switzerland",840.68
"Import","Luxembourg","Thailand",79056.56
"Import","Luxembourg","Poland",644.96
"Import","Luxembourg","Netherlands",11.2
"Import","Luxembourg","Viet Nam",76.32
"Import","Luxembourg","Br. Indian Ocean Terr.",7111.984
"Import","Luxembourg","Germany",42094.968
"Import","Luxembourg","Morocco",16.32
"Import","Luxembourg","Italy",226476.092
"Import","Luxembourg","Maldives",7062
"Import","China, Macao SAR","Japan",928
"Import","China, Macao SAR","Viet Nam",70852
"Import","China, Macao SAR","Indonesia",337
"Import","China, Macao SAR","Italy",88
"Import","China, Macao SAR","Philippines",11553
"Import","China, Macao SAR","Portugal",9299
"Import","China, Macao SAR","Thailand",63538
"Export","Madagascar","France",5753144.92
"Export","Madagascar","Ireland",79488
"Import","Madagascar","France",17349.52
"Export","Malaysia","Singapore",119935.48
"Import","Malaysia","United Kingdom",5672.04
"Import","Malaysia","Thailand",2533672.44
"Import","Malaysia","Philippines",2654
"Import","Malaysia","Rep. of Korea",3818.2
"Import","Malaysia","China",1674438
"Import","Malaysia","Australia",17485.41
"Import","Malaysia","Indonesia",177095.7
"Import","Malaysia","Spain",1801.06
"Import","Malaysia","Other Asia, nes",4247.2
"Import","Malaysia","Denmark",8400
"Import","Malaysia","Japan",23300.51
"Import","Malta","China",79112
"Import","Malta","Mauritius",352246
"Import","Malta","Italy",610489
"Import","Malta","Seychelles",30857
"Import","Malta","Ecuador",399516
"Import","Malta","Philippines",252211
"Import","Malta","Viet Nam",47401
"Export","Mauritius","Slovenia",65820
"Export","Mauritius","Spain",25838388
"Export","Mauritius","Italy",8503290
"Export","Mauritius","Ireland",365188
"Export","Mauritius","Finland",3004616
"Import","Mauritius","Thailand",228994
"Import","Mauritius","Spain",9680
"Import","Mauritius","Madagascar",98
"Export","Mauritius","Malta",574588
"Export","Mauritius","Netherlands",18763056
"Export","Mauritius","United Kingdom",27143580
"Export","Mauritius","Norway",836458
"Export","Mauritius","Denmark",1689778
"Import","Mauritius","Malaysia",9674
"Import","Mauritius","USA",2550350
"Import","Mauritius","Iceland",45
"Export","Mauritius","USA",4814496
"Export","Mauritius","France",3981008
"Export","Mauritius","Sweden",2356088
"Import","Mauritius","France",5725
"Export","Mexico","Cuba",32462.528
"Export","Mexico","USA",17199002
"Import","Mexico","Spain",108749
"Import","Rep. of Moldova","Italy",103324
"Import","Rep. of Moldova","Bulgaria",3658
"Import","Rep. of Moldova","Ecuador",1476
"Import","Rep. of Moldova","Thailand",258532
"Import","Rep. of Moldova","Spain",262132
"Import","Rep. of Moldova","Viet Nam",21852
"Import","Rep. of Moldova","Papua New Guinea",14348
"Import","Rep. of Moldova","Mauritius",10508
"Import","Rep. of Moldova","Philippines",19550
"Import","Montenegro","Indonesia",160200
"Import","Montenegro","Italy",74202.22
"Import","Montenegro","Spain",112923.26
"Import","Montenegro","Croatia",50855.99
"Import","Montenegro","Viet Nam",101662.2
"Import","Montenegro","Thailand",178063.13
"Import","Montserrat","USA",2267.96
"Import","Morocco","Solomon Isds",161709
"Export","Morocco","Belgium",27424.8
"Import","Morocco","Madagascar",364256.8
"Import","Morocco","France",1832.12
"Import","Morocco","Italy",71361.3
"Import","Morocco","China",409004.48
"Export","Morocco","Bulgaria",11669.76
"Import","Morocco","Spain",1796410.82
"Import","Morocco","Portugal",217991.4
"Export","Morocco","France",290852.84
"Export","Morocco","Areas, nes",3649.26
"Import","Morocco","Senegal",2851453
"Export","Mozambique","Germany",115
"Export","Mozambique","Singapore",162
"Import","Mozambique","South Africa",9038
"Export","Oman","United Arab Emirates",346589.484
"Import","Oman","Thailand",1590755.235
"Export","Oman","Saudi Arabia",747590.365
"Import","Oman","Philippines",17387.112
"Import","Oman","Indonesia",382836.428
"Import","Oman","Iran",182411.675
"Import","Oman","United Arab Emirates",284645.843
"Import","Oman","Yemen",84839.699
"Export","Oman","Yemen",133967.916
"Import","Namibia","South Africa",199403.443
"Import","Namibia","Germany",170
"Import","Namibia","Thailand",203589.16
"Import","Netherlands","Maldives",230296
"Export","Netherlands","Suriname",346
"Export","Netherlands","Switzerland",271680
"Import","Netherlands","Finland",10916.593
"Export","Netherlands","Other Europe, nes",3291.792
"Import","Netherlands","Czechia",16457.79
"Export","Netherlands","Serbia",312576
"Import","Netherlands","Papua New Guinea",2284335
"Export","Netherlands","Austria",5721754.812
"Import","Netherlands","Indonesia",485400
"Export","Netherlands","Malta",480800.175
"Import","Netherlands","Belgium",159468.387
"Import","Netherlands","Côte d'Ivoire",16427
"Export","Netherlands","Curaçao",1353
"Export","Netherlands","Latvia",56541.866
"Export","Netherlands","Belgium",5710454
"Export","Netherlands","Czechia",750853.557
"Import","Netherlands","Sweden",8541.728
"Import","Netherlands","Austria",132503.979
"Export","Netherlands","Germany",17639913.195
"Export","Netherlands","Norway",17962
"Export","Netherlands","Italy",1003661.838
"Import","Netherlands","Cyprus",706.624
"Export","Netherlands","United Kingdom",6145206.116
"Import","Netherlands","Slovenia",1833.848
"Export","Netherlands","Slovakia",111672.743
"Import","Netherlands","Spain",12391721.548
"Import","Netherlands","Slovakia",2219.738
"Import","Netherlands","Estonia",1003.931
"Export","Netherlands","Poland",2444560.03
"Import","Netherlands","Ireland",11956.735
"Export","Netherlands","Finland",2614497.861
"Export","Netherlands","Slovenia",17968.84
"Export","Netherlands","Hungary",164784.001
"Export","Netherlands","Croatia",76350.955
"Import","Netherlands","Italy",23085.958
"Import","Netherlands","Bulgaria",15218.321
"Export","Netherlands","Estonia",1302.962
"Import","Netherlands","Philippines",5950420
"Export","Netherlands","Sweden",1979241.663
"Import","Netherlands","Germany",2633413.616
"Export","Netherlands","Romania",882913.571
"Import","Netherlands","Romania",9215.553
"Export","Netherlands","Spain",169969.287
"Export","Netherlands","Greece",1014279.758
"Import","Netherlands","Greece",16299.802
"Export","Netherlands","Bulgaria",99449.426
"Import","Netherlands","Seychelles",2555508
"Import","Netherlands","Croatia",8004.091
"Import","Netherlands","Thailand",1453072
"Import","Netherlands","Portugal",61197.736
"Import","Netherlands","Luxembourg",5117.372
"Import","Netherlands","Poland",118529.988
"Import","Netherlands","France",283088.72
"Import","Netherlands","Latvia",28479.093
"Import","Netherlands","Denmark",28474.137
"Export","Netherlands","Philippines",31824
"Export","Netherlands","Bonaire",6748
"Import","Netherlands","Ghana",700689
"Export","Netherlands","Iceland",11911
"Export","Netherlands","Ireland",786326.199
"Export","Netherlands","Portugal",4379.74
"Export","Netherlands","Denmark",2991839.266
"Export","Netherlands","Luxembourg",8087.109
"Import","Netherlands","Viet Nam",446787
"Import","Netherlands","Hungary",11797.431
"Import","Netherlands","India",22
"Import","Netherlands","Mauritius",10212068
"Export","Netherlands","Lithuania",112901.534
"Export","Netherlands","France",14863890.015
"Import","Netherlands","United Kingdom",1719.045
"Import","Netherlands","Ecuador",4355688
"Export","Netherlands","Cyprus",177427.215
"Import","Netherlands","Lithuania",8262.795
"Import","New Zealand","Rep. of Korea",21023
"Export","New Zealand","Tonga",14926
"Export","New Zealand","Norfolk Isds",463
"Import","New Zealand","Viet Nam",133080
"Import","New Zealand","Spain",88
"Import","New Zealand","United Arab Emirates",320
"Import","New Zealand","Norfolk Isds",47
"Import","New Zealand","Italy",4010
"Import","New Zealand","United Kingdom",840
"Import","New Zealand","China",107303
"Import","New Zealand","Iran",282
"Import","New Zealand","Australia",6685
"Import","New Zealand","Japan",323
"Import","New Zealand","Thailand",5003182
"Import","New Zealand","Fiji",54711
"Import","Nicaragua","Thailand",30381.14
"Import","Nicaragua","USA",153.79
"Import","Nicaragua","Costa Rica",791909.7
"Import","Nicaragua","El Salvador",334407
"Import","Nicaragua","Spain",110.94
"Import","Norway","Spain",36206
"Import","Norway","Mauritius",378388
"Import","Norway","Thailand",949905
"Import","Norway","Viet Nam",173493
"Import","Norway","Italy",7544
"Import","Pakistan","Iran",2700
"Import","Panama","El Salvador",934527
"Import","Panama","Free Zones",889419
"Import","Panama","Spain",15652
"Import","Panama","USA",70121
"Import","Panama","Thailand",1501753
"Import","Panama","Costa Rica",1595549
"Import","Panama","Japan",111
"Import","Paraguay","Ecuador",337348.9
"Export","Philippines","Qatar",200477.728
"Export","Philippines","Belgium",1184456.831
"Export","Philippines","USA",7957211.285
"Export","Philippines","Viet Nam",45807.4
"Export","Philippines","Singapore",383050.782
"Import","Philippines","China",994504
"Import","Philippines","Japan",256000.44
"Import","Philippines","USA",82213.74
"Export","Philippines","Japan",11701936.452
"Import","Philippines","Spain",28357.24
"Export","Philippines","Brunei Darussalam",31782.44
"Export","Philippines","Greece",571842.698
"Import","Philippines","Thailand",505736.7
"Export","Philippines","Lithuania",143931.4
"Import","Philippines","Indonesia",1124704
"Import","Philippines","Australia",1350.18
"Export","Philippines","Sweden",1158327.877
"Export","Philippines","Solomon Isds",2500
"Export","Philippines","Finland",881196.142
"Export","Philippines","N. Mariana Isds",21823.94
"Export","Philippines","Cyprus",359956.3
"Export","Philippines","Canada",877145.8
"Export","Philippines","Spain",9791208.157
"Export","Philippines","Kuwait",57348.53
"Export","Philippines","Cambodia",3234.28
"Export","Philippines","Poland",1022279
"Export","Philippines","Netherlands",7399582.14
"Export","Philippines","United Arab Emirates",808677.333
"Export","Philippines","Bahamas",190978.329
"Export","Philippines","Other Asia, nes",364662.747
"Export","Philippines","United Kingdom",8226570.284
"Export","Philippines","Germany",15530787.628
"Export","Philippines","Papua New Guinea",2921389.605
"Export","Philippines","Rep. of Korea",97350.963
"Export","Philippines","Italy",1927858.188
"Export","Poland","Belgium",1309
"Export","Poland","Italy",142914
"Export","Poland","Iceland",283
"Export","Poland","Germany",113859
"Export","Poland","Sweden",121
"Import","Poland","Czechia",5580
"Import","Poland","Netherlands",1447132
"Export","Poland","Austria",175
"Import","Poland","Maldives",1054
"Export","Poland","Areas, nes",20.105
"Export","Poland","Hungary",26598
"Import","Poland","Italy",759454
"Import","Poland","Germany",2372396
"Export","Poland","Ireland",1436
"Import","Poland","France",5578
"Export","Poland","Czechia",24301
"Import","Poland","Viet Nam",393260
"Export","Poland","Lithuania",14986
"Export","Poland","Russian Federation",4269
"Import","Poland","Spain",756739
"Export","Poland","United Kingdom",23929
"Export","Poland","Netherlands",17870
"Import","Poland","Colombia",369696
"Export","Poland","Estonia",358
"Export","Poland","Latvia",5767
"Import","Poland","Ecuador",4545814
"Import","Poland","Mauritius",116137
"Import","Poland","Sri Lanka",769
"Export","Portugal","Austria",1177206
"Export","Portugal","Greece",266334
"Export","Portugal","Malta",682
"Export","Portugal","Switzerland",89790
"Export","Portugal","Timor-Leste",8510
"Export","Portugal","Congo",730
"Export","Portugal","Angola",1019656.628
"Export","Portugal","Italy",3629778
"Export","Portugal","USA",636960
"Export","Portugal","Guinea-Bissau",61327.57
"Export","Portugal","Poland",163120
"Export","Portugal","Cabo Verde",21144
"Export","Portugal","Ireland",6846
"Export","Portugal","Lithuania",372
"Export","Portugal","Libya",1023086
"Export","Portugal","China, Hong Kong SAR",7060
"Export","Portugal","Bulgaria",1930
"Export","Portugal","Slovenia",118180
"Export","Portugal","Rep. of Korea",2664
"Import","Portugal","Thailand",142635
"Export","Portugal","Equatorial Guinea",12708
"Import","Portugal","Ecuador",3643542
"Export","Portugal","Latvia",80866
"Import","Portugal","Germany",482701
"Export","Portugal","South Africa",334316
"Export","Portugal","Norway",10024
"Export","Portugal","Czechia",306194
"Export","Portugal","Germany",1440113.306
"Import","Portugal","Netherlands",7515
"Import","Portugal","Mauritius",872486
"Export","Portugal","Spain",22799940.442
"Export","Portugal","Ukraine",3676
"Export","Portugal","China, Macao SAR",22748
"Export","Portugal","Luxembourg",273002
"Import","Portugal","Viet Nam",930465
"Export","Portugal","United Kingdom",890874.646
"Export","Portugal","France",1968410.8
"Export","Portugal","Mozambique",1259604.354
"Export","Portugal","Morocco",342144
"Export","Portugal","Belgium",137489.808
"Export","Portugal","Namibia",3066
"Import","Portugal","Papua New Guinea",459218
"Export","Portugal","Finland",23746
"Export","Portugal","Sao Tome and Principe",52644
"Import","Portugal","China",5125400
"Export","Portugal","Romania",94326
"Export","Portugal","United Arab Emirates",676
"Import","Portugal","Ireland",2275
"Import","Portugal","Italy",939
"Export","Portugal","Saint Barthélemy",1428
"Import","Portugal","France",25507
"Export","Portugal","Netherlands",1515600
"Import","Portugal","Spain",14826632.189
"Export","Portugal","Mauritania",760360
"Export","Portugal","Denmark",67094
"Export","Portugal","Canada",68896
"Import","Portugal","Indonesia",414250
"Import","Portugal","Peru",181633
"Import","Qatar","Philippines",301750.3
"Import","Qatar","Thailand",2407183.9
"Import","Qatar","United Kingdom",2057.64
"Import","Qatar","China",58346.4
"Import","Romania","Viet Nam",541401.36
"Export","Romania","Bulgaria",70870
"Import","Romania","Austria",4258
"Import","Romania","Poland",58726
"Import","Romania","Thailand",70980.64
"Import","Romania","Bulgaria",106381
"Import","Romania","Hungary",9733
"Export","Romania","United Kingdom",1937.48
"Export","Romania","Hungary",7180.579
"Import","Romania","Spain",719157
"Import","Romania","Czechia",19201
"Import","Romania","Greece",1748
"Import","Romania","Croatia",5274
"Export","Romania","Rep. of Moldova",60553.44
"Import","Romania","Netherlands",2630
"Import","Romania","France",181
"Import","Romania","Italy",1352050
"Import","Romania","Germany",3313051
"Import","Romania","Türkiye",57956
"Export","Romania","Netherlands",8905
"Import","Rwanda","Spain",10176.72
"Import","Rwanda","Papua New Guinea",3823.8
"Import","Rwanda","Belgium",11935.44
"Import","Sao Tome and Principe","Equatorial Guinea",1465
"Import","Sao Tome and Principe","Portugal",24423.8
"Export","Senegal","USA",3440037
"Export","Senegal","Spain",327768
"Export","Senegal","Morocco",890225
"Import","Senegal","Côte d'Ivoire",738
"Import","Senegal","France",52949
"Export","Serbia","Croatia",40
"Import","Serbia","Ghana",174026
"Import","Serbia","El Salvador",11251
"Import","Serbia","Papua New Guinea",24191
"Import","Serbia","Croatia",10128
"Import","Serbia","Ecuador",340651
"Import","Serbia","Indonesia",695232
"Import","Serbia","Thailand",1976608
"Import","Serbia","Bulgaria",290531
"Import","Serbia","Viet Nam",470733
"Import","Serbia","Italy",477254
"Export","Seychelles","France",51610292
"Export","Seychelles","Germany",6690012.2
"Export","Seychelles","United Kingdom",26112442
"Export","Seychelles","Netherlands",1739100.8
"Import","Seychelles","United Arab Emirates",19.932
"Export","Seychelles","Italy",9688590
"Export","Seychelles","Cyprus",146103.6
"Import","Seychelles","France",41.41
"Import","Seychelles","Thailand",532.05
"Export","India","Bhutan",5224
"Export","India","United Kingdom",1770
"Export","India","USA",21552
"Export","Singapore","Ghana",18310.98
"Import","Singapore","Spain",3938.55
"Import","Singapore","Malaysia",126911.34
"Import","Singapore","Italy",4580.57
"Export","Singapore","Nigeria",1890
"Import","Singapore","Other Asia, nes",3716.36
"Export","Singapore","Cambodia",2875.36
"Import","Singapore","France",2178.64
"Import","Singapore","Indonesia",34250.21
"Export","Singapore","China, Hong Kong SAR",8837.45
"Import","Singapore","United Kingdom",8791.02
"Import","Singapore","Australia",50331.99
"Import","Singapore","Japan",21220.28
"Import","Singapore","Thailand",1538473.3
"Export","Singapore","Malaysia",3533.2
"Import","Singapore","Portugal",1355.88
"Import","Singapore","Rep. of Korea",21482.12
"Import","Singapore","Maldives",455.31
"Import","Singapore","Philippines",263433.78
"Export","Singapore","Sri Lanka",7104
"Export","Slovakia","Romania",1995
"Export","Slovakia","Austria",2215
"Export","Slovakia","Poland",22372
"Import","Slovakia","Slovakia",985078
"Export","Slovakia","Hungary",34543
"Export","Slovakia","Slovenia",317
"Import","Slovakia","Other Europe, nes",33171.115
"Import","Slovakia","Poland",16463
"Import","Slovakia","Spain",1282030
"Import","Slovakia","Bulgaria",7308
"Import","Slovakia","Mauritius",80333
"Export","Slovakia","Croatia",635
"Export","Slovakia","Czechia",124450
"Export","Slovakia","Spain",10
"Import","Slovakia","Czechia",60680
"Import","Slovakia","Hungary",19
"Import","Slovakia","Ecuador",299879
"Import","Slovakia","Netherlands",95078
"Import","Slovakia","Germany",70596
"Export","Slovakia","Bulgaria",357
"Import","Slovakia","Sri Lanka",22587
"Export","Slovakia","Germany",421
"Export","Slovakia","Greece",127
"Import","Slovakia","Italy",669706
"Import","Viet Nam","Japan",14271.829
"Export","Viet Nam","Italy",979163.526
"Export","Viet Nam","Germany",3963977.265
"Export","Viet Nam","Lithuania",49441.395
"Export","Viet Nam","Chile",491356.954
"Export","Viet Nam","Thailand",4469807.391
"Export","Viet Nam","Peru",1202342.136
"Import","Viet Nam","Philippines",27438.896
"Export","Viet Nam","Denmark",488692.004
"Export","Viet Nam","Belgium",530053.664
"Import","Viet Nam","France",1640.499
"Export","Viet Nam","Russian Federation",92937.243
"Import","Viet Nam","Singapore",6059.088
"Export","Viet Nam","China, Hong Kong SAR",256536.104
"Export","Viet Nam","Cyprus",676896.154
"Export","Viet Nam","Greece",568499.35
"Export","Viet Nam","Japan",2726459.199
"Export","Viet Nam","Netherlands",1233148.779
"Export","Viet Nam","Türkiye",156766.489
"Export","Viet Nam","Mexico",695794.63
"Export","Viet Nam","USA",27162148.304
"Export","Viet Nam","Finland",426507.772
"Import","Viet Nam","Rep. of Korea",87061.859
"Export","Viet Nam","Sweden",241691.926
"Export","Viet Nam","Australia",416232.255
"Export","Viet Nam","Slovenia",264050.473
"Export","Viet Nam","Other Asia, nes",789137.202
"Export","Viet Nam","Canada",3112504.158
"Export","Viet Nam","Rep. of Korea",1358453.168
"Export","Viet Nam","Romania",529130.961
"Export","Viet Nam","United Arab Emirates",59869.876
"Export","Viet Nam","France",354164.616
"Export","Viet Nam","Israel",3399274.747
"Export","Viet Nam","Egypt",1947970.91
"Export","Viet Nam","Croatia",623264.914
"Import","Viet Nam","China",2520158.232
"Export","Viet Nam","Philippines",118756.463
"Import","Slovenia","USA",119.095
"Import","Slovenia","Austria",10902.234
"Import","Slovenia","Croatia",58734.711
"Import","Slovenia","Indonesia",11809.62
"Import","Slovenia","Portugal",44498.177
"Import","Slovenia","Ghana",65257.284
"Export","Slovenia","Italy",589.802
"Import","Slovenia","France",7101.996
"Import","Slovenia","Viet Nam",49216.56
"Export","Slovenia","Romania",721.65
"Export","Slovenia","Hungary",96444.18
"Export","Slovenia","Germany",2756.97
"Import","Slovenia","Netherlands",13933.56
"Export","Slovenia","Croatia",174092.975
"Import","Slovenia","Mauritius",45387.3
"Import","Slovenia","Italy",1790541.876
"Export","Slovenia","Austria",2241.824
"Export","Slovenia","Bosnia Herzegovina",97908.45
"Import","Slovenia","Ecuador",156519.4
"Import","Slovenia","Côte d'Ivoire",36270.99
"Import","Slovenia","Papua New Guinea",27207.24
"Export","Slovenia","Slovakia",17.2
"Import","Slovenia","Bulgaria",102
"Import","Slovenia","Philippines",38188.16
"Import","Slovenia","Spain",852003.658
"Import","Slovenia","Germany",259510.708
"Export","South Africa","Eswatini",35073.02
"Import","South Africa","Japan",499.32
"Import","South Africa","Zambia",16450.94
"Export","South Africa","Mozambique",24033.52
"Export","South Africa","Namibia",512401.16
"Import","South Africa","Portugal",159259.72
"Export","South Africa","Lesotho",131261.46
"Export","South Africa","Malawi",27421.91
"Export","South Africa","Dem. Rep. of the Congo",3962.04
"Import","South Africa","China",1117304.4
"Export","South Africa","Zimbabwe",12372.16
"Export","South Africa","Botswana",622174.36
"Export","South Africa","Zambia",59392.46
"Import","South Africa","Malawi",1793.83
"Export","South Africa","Ghana",1943.38
"Import","South Africa","Ghana",1349.26
"Import","South Africa","Thailand",8483978.26
"Import","South Africa","Mozambique",3158.94
"Import","South Africa","Dem. Rep. of the Congo",325.46
"Export","Spain","Germany",2611975.504
"Export","Spain","Switzerland",705283.82
"Export","Spain","Uruguay",111610.14
"Export","Spain","Netherlands",2335947.844
"Export","Spain","Slovenia",1729220.52
"Export","Spain","Viet Nam",8516.3
"Export","Spain","Israel",234421.56
"Export","Spain","Malta",278902.022
"Import","Spain","Philippines",16095244.8
"Import","Spain","Peru",3455331.8
"Export","Spain","Morocco",2412198.76
"Export","Spain","Singapore",10479.836
"Export","Spain","Ukraine",572340.9
"Import","Spain","Chile",234141.14
"Import","Spain","Netherlands",969966.52
"Export","Spain","El Salvador",801.3
"Export","Spain","Sierra Leone",199.44
"Export","Spain","United Kingdom",7716604.204
"Import","Spain","Germany",451847.4
"Export","Spain","Guatemala",4887.024
"Import","Spain","Ghana",2344944
"Export","Spain","Costa Rica",3769.24
"Export","Spain","Croatia",987498.3
"Export","Spain","Panama",102547.8
"Import","Spain","El Salvador",7384048.2
"Import","Spain","Indonesia",2701989
"Export","Spain","Libya",1046291.8
"Export","Spain","Finland",1568704.392
"Export","Spain","Slovakia",1282371.184
"Export","Spain","Hungary",161044.112
"Import","Spain","Italy",6714075.056
"Export","Spain","Norway",165206.34
"Import","Spain","Solomon Isds",4522800
"Export","Spain","Bulgaria",741817.84
"Export","Spain","Equatorial Guinea",36525.368
"Export","Spain","Chile",258353.82
"Export","Spain","Montenegro",217037.08
"Export","Spain","Mauritania",253671.886
"Export","Spain","Colombia",2982.776
"Import","Spain","Portugal",20106323
"Export","Spain","Romania",1717032.726
"Import","Spain","South Africa",48960
"Export","Spain","Mozambique",13170.72
"Export","Spain","China",216414.34
"Export","Spain","Denmark",291714.132
"Export","Spain","Italy",72026027.96
"Export","Spain","Portugal",24302198.08
"Export","Spain","Andorra",457675.22
"Import","Spain","Libya",317704.6
"Import","Spain","Viet Nam",4842875
"Export","Spain","Bosnia Herzegovina",226291.48
"Export","Spain","Iceland",6724.28
"Export","Spain","Lithuania",500898.804
"Export","Spain","Greece",955857.208
"Import","Spain","Mexico",38004
"Import","Spain","Colombia",1014592
"Export","Spain","Senegal",117405.26
"Import","Spain","China",44098795.8
"Export","Spain","Austria",1077768.88
"Import","Spain","Ecuador",135113407.44
"Export","Spain","Mexico",252025.18
"Import","Spain","Guatemala",13270056
"Export","Spain","South Africa",147236.8
"Import","Spain","Senegal",2252160
"Import","Spain","Papua New Guinea",25825653.92
"Export","Spain","Czechia",3187812.22
"Export","Spain","Ireland",681980.808
"Export","Spain","Belgium",2355966.744
"Import","Spain","Côte d'Ivoire",1742272
"Export","Spain","Burkina Faso",70.2
"Export","Spain","Rep. of Korea",13437.32
"Export","Spain","Cabo Verde",11336.96
